native,quick,merge,bubble,insertion,selection,counting,counting2,heap,radix,gnome,shell,shaker,lodash
1.331,0.98,2.083,5.091,2.527,2.736,0.31,0.2,2.191,0.967,3.203,1.74,3.966,6.171
0.854,1.138,1.806,5.068,2.06,2.847,0.243,0.192,2.421,0.988,3.547,1.809,3.785,5.101
1.335,0.854,7.43,5.663,2.05,2.515,0.345,0.185,2.725,1.051,3.196,1.789,3.834,4.455
1.562,0.926,1.859,4.642,1.992,3.29,0.28,0.205,2.222,1.053,3.06,1.7,4.496,4.578
1.323,1.241,1.853,4.549,2.081,2.575,0.268,0.186,2.121,1.136,3.232,1.764,3.863,5.074
1.714,1.633,2.569,5.217,1.947,3.887,0.245,0.187,2.194,1.138,3.151,1.589,4.133,6.664
1.292,0.955,1.869,6.745,2.134,2.459,0.265,0.214,2.78,1.012,3.074,1.752,3.64,5.796
1.659,1.03,2.65,6.289,1.955,3.021,0.24,0.187,2.104,1.019,3.583,2.071,4.053,5.444
1.349,0.685,1.884,4.806,1.994,2.714,0.25,0.185,2.127,0.973,3.171,1.573,3.854,5.182
1.383,0.847,1.838,4.961,2.95,2.641,0.252,3.798,2.083,0.961,3.046,1.994,4.438,4.795
1.302,0.867,1.802,4.767,2.057,2.736,0.238,0.184,2.119,0.973,3.011,1.639,3.927,4.604
1.404,0.884,1.831,5.1,1.883,2.519,0.242,0.186,2.054,0.983,3.489,1.709,3.634,5.715
1.257,1.292,6.898,5.215,2.032,2.441,0.244,0.191,2.243,3.973,3.045,1.715,3.646,5.042
1.452,1.629,2.428,5.389,3.086,2.728,0.509,0.202,2.236,1.041,3.212,1.606,3.707,4.634
1.37,1.076,2.235,5.175,2.026,2.741,0.242,0.192,2.11,0.98,3.001,1.762,4.115,6.341
1.506,1.812,1.874,5.052,2,2.511,0.24,0.199,2.418,0.964,3.202,1.876,4.071,5.491
1.345,1.011,2.93,4.571,2.007,2.494,0.242,0.193,2.14,0.995,3.066,1.753,3.8,5.399
1.364,1.005,1.859,5.287,1.86,3.931,0.262,0.319,2.096,0.981,3.067,1.669,3.757,5.831
1.408,0.865,1.809,7.037,1.954,3.791,0.271,0.197,2.079,0.981,3.069,1.626,6.235,4.936
1.264,0.978,2.318,4.573,2.728,2.74,0.253,0.206,2.172,0.962,3.149,1.838,3.663,3.769
0.918,0.913,2.339,6.442,2.102,3.02,0.239,0.235,2.063,0.982,3.143,1.729,3.697,6.289
1.3,0.943,1.817,4.475,2.05,2.678,0.247,0.259,2.067,0.972,2.985,1.783,4.009,8.552
1.267,0.86,1.844,4.839,2.094,2.754,0.25,0.191,2.122,0.974,3.13,1.787,3.727,6.054
0.873,1.237,2.036,4.775,2.082,3.427,0.266,0.198,2.593,0.962,3.022,1.621,3.818,6.336
1.425,1.544,2.341,4.745,1.934,4.609,0.247,0.227,2.114,0.966,4.864,1.814,4.054,5.568
1.411,0.904,5.729,4.908,2.081,2.538,0.339,0.191,3.487,0.963,3.128,1.709,3.637,5.26
0.937,1.18,1.882,5.232,2.21,2.886,0.241,0.192,2.382,0.98,3.051,1.767,3.834,5.507
0.988,1.623,2.262,6.029,2.631,4.359,0.239,0.192,2.375,0.964,3.102,1.984,3.584,5.641
1.271,0.869,1.884,5.242,2.277,2.726,0.249,0.185,2.12,0.963,3.015,2.184,4.393,11.318
1.279,0.852,2.091,6.02,2.527,2.441,0.249,0.185,4.482,0.996,3.285,2.152,4.323,6.407
1.424,1.016,1.864,4.786,1.876,2.698,0.249,0.186,2.205,1.003,3.049,1.915,3.728,4.406
1.361,0.905,2.25,4.515,2.077,2.62,0.242,0.214,4.017,0.999,3.172,1.694,3.559,4.977
1.405,0.944,1.892,6.137,1.993,2.626,0.248,0.204,2.938,0.975,3.266,1.812,3.524,6.341
1.294,0.973,1.813,4.833,2.773,2.858,0.244,0.193,2.108,0.953,3.173,1.775,3.763,5.931
0.815,0.926,2.024,4.725,2.036,3.18,0.238,0.191,2.186,0.961,3.054,1.779,3.756,5.373
1.638,0.974,1.858,5.818,2.096,2.711,0.472,0.204,2.692,1.018,3.177,1.721,3.698,5.083
0.843,0.909,6.369,4.835,2.05,2.463,0.344,0.19,2.042,4.019,3.206,1.731,3.822,4.177
1.417,0.992,1.83,5.069,2.05,2.423,0.289,0.203,2.946,1.095,3.14,1.626,3.754,5.452
1.371,0.939,1.87,5.439,1.905,2.687,0.238,0.247,2.14,0.964,3.095,1.788,3.981,6.186
1.352,0.867,1.891,4.604,2.07,2.606,0.24,0.194,2.073,0.991,3.423,1.745,3.587,5.79
1.439,0.846,1.844,6.637,1.8,3.579,0.245,0.185,2.092,0.964,3.148,1.625,3.681,4.176
0.884,1.041,2.279,5.411,1.936,3.831,0.251,0.194,2.069,0.959,3.429,2.167,4.825,5.376
1.37,0.996,6.482,4.904,2.183,2.699,0.3,0.193,2.124,0.983,3.005,1.759,3.702,5.512
1.332,1.011,1.804,4.529,1.974,2.638,0.238,0.186,2.11,1.013,3.198,1.791,4.428,8.448
1.35,0.989,1.912,6.357,2.164,2.661,0.238,0.189,2.091,0.996,3.111,1.673,4.062,6.381
1.669,0.902,2.329,5.402,2.056,2.537,0.249,0.353,4.39,0.976,3.039,1.724,3.757,5.505
1.298,0.942,1.858,4.56,3.026,2.506,0.237,0.188,3.933,0.96,3.093,1.797,4.088,5.66
1.252,0.923,2.252,5.102,2.019,2.61,0.334,0.199,2.439,1.127,3.723,1.785,3.621,4.01
1.391,0.898,1.807,4.825,2.063,2.663,0.239,0.186,6.255,1.067,3.183,1.755,3.681,6.947
0.84,0.897,1.791,4.731,1.921,2.791,0.233,0.195,3.786,0.967,3.166,1.559,4.444,3.996
1.323,1.05,1.895,5.56,2.145,2.543,0.263,0.278,2.068,0.987,3.098,1.726,3.673,4.337
1.35,0.898,1.838,4.997,2.223,2.526,0.44,0.425,2.989,1.029,2.899,1.699,3.913,5.982
1.045,0.951,1.84,5.854,2.214,2.87,0.241,0.198,4.136,0.966,3.28,1.677,3.746,4.123
0.821,0.94,6.724,5.865,1.954,2.83,0.24,0.19,2.095,4.012,2.894,1.737,4.473,7.353
1.331,0.857,1.804,4.698,2.424,2.57,0.24,0.193,2.151,0.986,3.118,1.718,3.643,5.293
1.336,0.85,1.801,4.707,2.114,2.883,0.251,0.191,2.112,0.979,3.125,1.75,4.054,4.36
0.88,0.984,1.846,4.888,2.551,2.753,0.245,0.189,2.247,0.957,3.333,1.782,3.762,4.713
1.375,0.858,1.892,5.474,2.046,2.421,0.243,0.222,3.433,1.008,3.078,1.738,3.699,5.487
0.992,0.95,5.601,4.882,2.193,2.777,0.439,0.261,2.361,1.101,3.2,1.837,3.791,5.964
1.343,1.031,1.952,6.834,2.077,2.531,0.245,0.198,2.133,1.056,3.096,1.719,3.756,4.87
1.405,1.103,1.97,4.615,2.122,2.721,0.243,0.196,3.438,1.038,3.728,1.74,3.644,4.288
1.658,0.797,2.219,5.831,2.601,3.133,0.325,0.351,2.603,1.104,3.286,1.693,3.596,5.397
1.307,0.867,1.827,5.724,2.103,2.918,0.263,0.209,3.427,1.517,3.301,2.192,3.954,7.467
1.38,1.609,7.002,5.906,1.84,2.847,0.244,0.194,2.082,1.045,3.221,1.88,4.141,4.356
0.831,0.918,1.826,4.957,2.099,2.617,0.241,0.192,3.949,1.088,3.032,1.734,5.656,7.705
0.896,0.99,1.889,4.862,2.023,2.734,0.241,0.193,2.211,1.036,3.252,1.771,3.98,5.563
0.851,0.912,1.884,5.122,1.991,6.286,0.407,0.36,3.228,1.788,4.877,2.574,7.393,6.128
1.887,1.632,3.027,4.862,2.287,3.333,0.244,0.197,2.082,1.04,3.072,1.793,3.706,3.959
1.435,0.857,5.881,6.564,2.19,2.497,0.242,0.198,2.217,1.027,3.171,1.712,3.86,6.825
1.051,0.887,2.677,5.428,2.136,2.703,0.365,0.189,2.145,1.048,3.143,1.894,3.813,5.32
1.489,1.088,3.077,4.976,2.325,4.093,0.244,0.207,2.983,1.213,5.558,1.834,3.806,5.796
1.278,0.966,1.818,4.558,2.632,2.856,0.246,0.197,4.554,1.05,3.128,1.786,3.877,4.381
1.298,0.845,1.851,4.711,1.933,2.696,0.271,0.192,2.155,1.119,3.211,1.876,3.798,4.39
1.362,1.021,1.858,4.331,2.089,2.42,0.241,0.193,2.549,1.345,3.376,2.153,3.837,4.324
0.902,0.87,2.292,4.874,2.099,2.563,0.262,0.197,4.88,1.041,3.13,1.578,3.909,5.194
0.877,0.744,5.257,5.213,2.036,2.825,0.365,0.268,2.495,1.094,3.108,1.956,3.849,7.393
1.357,0.84,2.312,5.457,1.993,2.706,0.256,0.227,2.099,0.979,3.14,1.748,3.692,5.351
1.559,0.852,5.127,6.283,2.634,2.679,0.271,0.198,2.156,0.997,3.102,1.884,3.717,5.387
1.393,0.894,1.829,6.069,2.13,2.688,0.249,0.211,2.162,1.008,3.178,1.751,3.789,7.222
0.836,0.901,1.837,5.106,2.035,2.383,0.243,0.193,3.874,1.058,3.441,1.623,3.739,5.969
1.759,0.877,5.012,5.293,2.097,2.731,0.248,0.192,2.277,3.84,3.09,1.676,3.604,4.024
1.568,0.866,2.311,8.298,2.125,5.028,0.254,0.213,2.681,1.027,4.005,1.823,3.84,11.54
1.309,0.895,5.638,5.969,2.044,2.762,0.271,0.195,2.159,0.982,3.471,1.726,3.93,4.907
1.429,1.298,2.055,5.845,3.149,2.957,0.341,0.256,2.464,1.069,3.343,1.84,3.956,5.958
0.915,0.786,2.315,4.963,2.183,2.937,0.367,0.335,2.299,1.266,3.285,1.949,3.85,5.911
1.416,1.022,1.834,6.671,2.119,2.459,0.281,0.207,2.084,0.974,3.237,1.817,3.696,6.657
3.367,1.582,4.003,5.121,2.52,3.009,0.247,0.21,4.305,1.216,2.934,1.719,5.567,8.116
1.389,0.944,5.505,6.447,2.109,2.881,0.256,0.212,2.145,1.116,3.303,1.863,3.872,8.828
1.689,1.024,2.15,9.041,2.108,2.85,0.246,0.3,4.337,0.982,3.549,1.919,3.906,5.3
1.418,0.914,1.911,5.579,2.165,2.523,0.249,0.187,2.292,0.988,3.305,1.809,3.626,4.703
1.413,0.896,1.972,5.669,1.929,4.291,0.247,0.195,2.101,1.046,3.186,1.576,3.803,4.517
1.512,0.857,1.952,4.806,4.929,3.14,0.248,0.194,2.085,0.998,3.111,1.657,3.719,5.282
1.444,0.969,1.884,4.808,2.444,2.868,0.249,0.227,2.062,0.991,3.156,1.796,3.718,4.609
1.505,0.929,2.19,5.253,1.969,2.657,0.248,0.193,2.142,1.276,3.46,1.597,3.701,5.097
1.295,0.881,6.176,4.637,2.056,2.672,0.256,0.196,2.193,0.976,3.164,1.908,3.842,4.958
1.328,0.913,2.535,4.864,2.044,2.799,0.447,0.196,5.665,1.025,3.284,1.867,3.641,7.398
1.312,0.927,1.872,6.957,1.922,3.117,0.243,0.192,2.13,0.986,3.031,1.811,3.618,4.738
1.33,1.035,1.829,4.996,2.125,2.816,0.259,0.214,2.598,1.164,3.158,1.7,3.792,5.691
0.856,0.947,2.52,4.665,1.901,2.482,0.245,0.189,2.116,0.964,3.012,1.833,3.675,5.453
1.297,0.894,1.848,4.742,1.909,2.533,0.249,0.19,2.652,0.985,3.149,1.8,3.678,5.653
1.491,0.887,1.879,4.621,1.938,2.622,0.245,0.22,2.127,1.029,3.607,1.841,3.694,4.892
1.437,0.932,2,5.802,2.231,2.513,0.244,0.205,2.571,4.471,3.029,2.271,3.821,5.378
1.331,2.22,1.909,364.938,2.047,3.129,0.252,0.194,2.542,1.041,3.339,1.792,3.705,5.13
1.37,0.845,1.787,6.109,1.972,2.861,0.255,0.188,2.201,0.972,2.998,1.629,3.851,4.773
1.279,0.866,7.999,4.702,2.32,2.611,0.25,0.189,2.116,1.015,3.15,1.747,3.757,5.264
1.501,0.963,5.174,4.836,2.521,3.057,0.35,0.303,3.151,1.116,3.23,1.886,3.936,6.355
0.871,0.94,5.194,5.37,2.171,2.504,0.245,0.248,2.585,1.155,3.249,2.008,4.524,4.989
1.058,0.899,2.786,4.557,2.256,2.707,0.252,0.193,3.506,1,3.408,1.698,4.381,5.674
1.313,0.67,1.993,5.393,2.189,2.63,0.248,0.193,2.581,1.064,3.059,1.756,4.02,5.05
1.353,1.471,2.035,4.479,2.034,2.547,0.247,0.188,2.065,1.01,3.123,1.781,3.724,6.807
1.368,1.089,2.173,4.741,2.195,2.781,0.238,0.21,2.174,0.968,3.132,1.68,3.594,5.746
0.842,0.741,1.961,4.968,2.042,2.505,0.244,0.184,2.056,0.974,3.246,1.722,3.742,5.754
1.322,1.087,1.992,6.355,1.991,2.814,0.323,0.21,2.746,1.09,3.041,1.672,3.777,5.136
1.306,0.653,2.764,4.637,2.05,2.892,0.24,0.198,2.046,0.991,3.22,1.76,3.627,7.714
1.453,0.884,1.977,4.764,2.181,2.734,0.243,0.187,2.104,1.053,3.166,1.702,3.851,5.876
0.963,0.731,5.482,5.875,2.047,2.972,0.348,0.255,2.366,1.191,3.281,1.846,3.851,5.263
0.852,0.95,2.015,5.328,2.203,3.202,0.265,0.212,2.751,1.032,3.03,1.701,3.889,4.23
1.422,1.192,2.055,5.569,2.022,2.742,0.367,0.286,2.244,0.992,3.064,1.722,3.733,5.933
0.874,1.161,7.154,4.744,2.35,2.608,0.338,0.339,3.035,1.096,3.184,1.838,3.871,6.549
1.374,1.209,2.004,5.947,2.212,2.428,0.241,0.193,2.128,1.108,3.226,1.748,3.674,4.31
1.431,1.077,2.523,5.709,5.175,3.602,0.413,0.209,3.672,1.009,3.425,1.96,3.799,5.024
1.298,1.025,2.218,5.043,1.809,3.3,0.253,0.201,5.225,0.998,3.121,1.689,3.76,4.469
1.98,0.783,1.928,5.215,2.208,2.941,0.372,0.264,2.386,1.148,3.223,1.93,3.85,7.047
1.382,0.752,2.098,5.101,2.357,3.279,0.388,0.393,2.436,1.102,3.207,1.962,4.077,5.954
1.634,0.737,2.211,5.309,3.494,2.926,0.466,0.334,3.139,1.244,4.082,2.165,4.427,7.076
2.433,0.787,5.021,5.088,2.451,2.752,0.392,0.334,2.47,1.122,3.352,1.961,4.27,7.089
